Id,Code,Name,Class,Standard Concept Caption,Valid Start Date,Valid End Date,RC,DRC,PC,DPC,Domain,Vocabulary,Ancestors
21065807,OMOP262011,varenicline 1 MG [Champix],Branded Drug Comp,Standard,8/23/2017,12/30/2099,"2,050","262,720","1,470","90,490",Drug,RxNorm Extension,
19089147,637189,varenicline 1 MG [Chantix],Branded Drug Comp,Standard,7/8/2006,12/30/2099,"178,270","19,782,840","43,020","9,313,220",Drug,RxNorm,
43194150,OMOP485556,varenicline 1 MG Delayed Release Oral Tablet,Clinical Drug,Standard,8/23/2017,12/30/2099,0,"7,570",0,"5,730",Drug,RxNorm Extension,
40833735,OMOP2031697,varenicline 1 MG Delayed Release Oral Tablet Box of 112,Clinical Drug Box,Standard,8/23/2017,12/30/2099,0,50,0,40,Drug,RxNorm Extension,
35774971,OMOP2776432,varenicline 1 MG Delayed Release Oral Tablet Box of 14,Clinical Drug Box,Standard,8/23/2017,12/30/2099,0,0,0,0,Drug,RxNorm Extension,
36785903,OMOP4774179,varenicline 1 MG Delayed Release Oral Tablet Box of 140,Clinical Drug Box,Standard,8/31/2018,12/30/2099,0,0,0,0,Drug,RxNorm Extension,
43139117,OMOP485557,varenicline 1 MG Delayed Release Oral Tablet Box of 28,Clinical Drug Box,Standard,8/23/2017,12/30/2099,0,"6,600",0,"5,080",Drug,RxNorm Extension,
43183163,OMOP485558,varenicline 1 MG Delayed Release Oral Tablet Box of 56,Clinical Drug Box,Standard,8/23/2017,12/30/2099,0,920,0,610,Drug,RxNorm Extension,
43194151,OMOP485559,varenicline 1 MG Delayed Release Oral Tablet [Champix],Branded Drug,Standard,8/23/2017,12/30/2099,0,"7,570",0,"5,730",Drug,RxNorm Extension,
41026090,OMOP2224052,varenicline 1 MG Delayed Release Oral Tablet [Champix] Box of 112,Branded Drug Box,Standard,8/23/2017,12/30/2099,0,50,0,40,Drug,RxNorm Extension,
40975657,OMOP2173619,varenicline 1 MG Delayed Release Oral Tablet [Champix] Box of 112 by Cc,Marketed Product,Standard,8/23/2017,12/30/2099,50,50,40,40,Drug,RxNorm Extension,
35745929,OMOP2747390,varenicline 1 MG Delayed Release Oral Tablet [Champix] Box of 14,Branded Drug Box,Standard,8/23/2017,12/30/2099,0,0,0,0,Drug,RxNorm Extension,
36785902,OMOP4774178,varenicline 1 MG Delayed Release Oral Tablet [Champix] Box of 140,Branded Drug Box,Standard,8/31/2018,12/30/2099,0,0,0,0,Drug,RxNorm Extension,
36785901,OMOP4774177,varenicline 1 MG Delayed Release Oral Tablet [Champix] Box of 140 by Pfizer,Marketed Product,Standard,8/31/2018,12/30/2099,0,0,0,0,Drug,RxNorm Extension,
35742608,OMOP2744069,varenicline 1 MG Delayed Release Oral Tablet [Champix] Box of 14 by Mawdsley-Brooks,Marketed Product,Standard,8/23/2017,12/30/2099,0,0,0,0,Drug,RxNorm Extension,
35771977,OMOP2773438,varenicline 1 MG Delayed Release Oral Tablet [Champix] Box of 14 by Pfizer,Marketed Product,Standard,8/23/2017,12/30/2099,0,0,0,0,Drug,RxNorm Extension,
35755197,OMOP2756658,varenicline 1 MG Delayed Release Oral Tablet [Champix] Box of 14 by Sigma-Tau,Marketed Product,Standard,8/23/2017,12/30/2099,0,0,0,0,Drug,RxNorm Extension,
35746791,OMOP2748252,varenicline 1 MG Delayed Release Oral Tablet [Champix] Box of 14 by Waymade,Marketed Product,Standard,8/23/2017,12/30/2099,0,0,0,0,Drug,RxNorm Extension,
43183164,OMOP485561,varenicline 1 MG Delayed Release Oral Tablet [Champix] Box of 28,Branded Drug Box,Standard,8/23/2017,12/30/2099,0,"6,600",0,"5,080",Drug,RxNorm Extension,
